"filename", "language", "Markdown", "CMake", "YAML", "JSON", "Docker", "JSON with Comments", "C", "C++", "comment", "blank", "total"
"/home/mike/code/weatherKit/sensorPackage/main/CMakeLists.txt", "CMake", 0, 21, 0, 0, 0, 0, 0, 0, 0, 1, 22
"/home/mike/code/weatherKit/sensorPackage/main/idf_component.yml", "YAML", 0, 0, 2, 0, 0, 0, 0, 0, 0, 2, 4
"/home/mike/code/weatherKit/sensorPackage/main/include/drivers/aht20.h", "C++", 0, 0, 0, 0, 0, 0, 0, 10, 7, 4, 21
"/home/mike/code/weatherKit/sensorPackage/main/include/drivers/as3935.h", "C++", 0, 0, 0, 0, 0, 0, 0, 42, 85, 19, 146
"/home/mike/code/weatherKit/sensorPackage/main/include/drivers/buzzer.h", "C++", 0, 0, 0, 0, 0, 0, 0, 10, 27, 9, 46
"/home/mike/code/weatherKit/sensorPackage/main/include/drivers/i2c_init.h", "C++", 0, 0, 0, 0, 0, 0, 0, 10, 26, 9, 45
"/home/mike/code/weatherKit/sensorPackage/main/include/drivers/led.h", "C++", 0, 0, 0, 0, 0, 0, 0, 9, 19, 7, 35
"/home/mike/code/weatherKit/sensorPackage/main/include/drivers/lora.h", "C++", 0, 0, 0, 0, 0, 0, 0, 74, 194, 51, 319
"/home/mike/code/weatherKit/sensorPackage/main/include/drivers/lora_protocol.h", "C++", 0, 0, 0, 0, 0, 0, 0, 224, 205, 67, 496
"/home/mike/code/weatherKit/sensorPackage/main/include/drivers/pressure_driver.h", "C++", 0, 0, 0, 0, 0, 0, 0, 16, 46, 10, 72
"/home/mike/code/weatherKit/sensorPackage/main/include/pinout.h", "C++", 0, 0, 0, 0, 0, 0, 0, 27, 52, 17, 96
"/home/mike/code/weatherKit/sensorPackage/main/include/sensor_routine.h", "C++", 0, 0, 0, 0, 0, 0, 0, 15, 57, 13, 85
"/home/mike/code/weatherKit/sensorPackage/main/include/tasks/led_status_task.h", "C++", 0, 0, 0, 0, 0, 0, 0, 8, 12, 6, 26
"/home/mike/code/weatherKit/sensorPackage/main/include/tasks/lora_rx_task.h", "C++", 0, 0, 0, 0, 0, 0, 0, 8, 14, 6, 28
"/home/mike/code/weatherKit/sensorPackage/main/include/tasks/task_common.h", "C++", 0, 0, 0, 0, 0, 0, 0, 47, 90, 32, 169
"/home/mike/code/weatherKit/sensorPackage/main/include/tasks/weather_tx_task.h", "C++", 0, 0, 0, 0, 0, 0, 0, 8, 14, 6, 28
"/home/mike/code/weatherKit/sensorPackage/main/main.c", "C", 0, 0, 0, 0, 0, 0, 50, 0, 25, 13, 88
"/home/mike/code/weatherKit/sensorPackage/main/src/drivers/aht20.c", "C", 0, 0, 0, 0, 0, 0, 87, 0, 14, 30, 131
"/home/mike/code/weatherKit/sensorPackage/main/src/drivers/as3935.c", "C", 0, 0, 0, 0, 0, 0, 281, 0, 41, 74, 396
"/home/mike/code/weatherKit/sensorPackage/main/src/drivers/buzzer.c", "C", 0, 0, 0, 0, 0, 0, 131, 0, 16, 26, 173
"/home/mike/code/weatherKit/sensorPackage/main/src/drivers/i2c_init.c", "C", 0, 0, 0, 0, 0, 0, 69, 0, 7, 20, 96
"/home/mike/code/weatherKit/sensorPackage/main/src/drivers/led.c", "C", 0, 0, 0, 0, 0, 0, 171, 0, 16, 35, 222
"/home/mike/code/weatherKit/sensorPackage/main/src/drivers/lora.c", "C", 0, 0, 0, 0, 0, 0, 745, 0, 169, 206, 1120
"/home/mike/code/weatherKit/sensorPackage/main/src/drivers/pressure_driver.c", "C", 0, 0, 0, 0, 0, 0, 129, 0, 46, 45, 220
"/home/mike/code/weatherKit/sensorPackage/main/src/main.c", "C", 0, 0, 0, 0, 0, 0, 44, 0, 22, 12, 78
"/home/mike/code/weatherKit/sensorPackage/main/src/sensor_routine.c", "C", 0, 0, 0, 0, 0, 0, 470, 0, 172, 130, 772
"/home/mike/code/weatherKit/sensorPackage/main/src/tasks/led_status_task.c", "C", 0, 0, 0, 0, 0, 0, 87, 0, 22, 20, 129
"/home/mike/code/weatherKit/sensorPackage/main/src/tasks/lora_rx_task.c", "C", 0, 0, 0, 0, 0, 0, 144, 0, 45, 39, 228
"/home/mike/code/weatherKit/sensorPackage/main/src/tasks/sensor_routine.c", "C", 0, 0, 0, 0, 0, 0, 167, 0, 24, 43, 234
"/home/mike/code/weatherKit/sensorPackage/main/src/tasks/task_common.c", "C", 0, 0, 0, 0, 0, 0, 161, 0, 35, 44, 240
"/home/mike/code/weatherKit/sensorPackage/main/src/tasks/weather_tx_task.c", "C", 0, 0, 0, 0, 0, 0, 188, 0, 44, 48, 280
"Total", "-", 620, 66, 7, 26, 16, 42, 6196, 1109, 3110, 2350, 13542
